paper_id,issue_year,field_jel,team_size,author_cluster_id,idea_quality,offshelf_llm_score,execution_quality,connection_index,author_ability_index,team_max_prior_publications,team_mean_prior_publications,team_max_prior_top5_publications,team_sum_prior_top5_publications,team_max_years_since_first_publication,team_mean_years_since_first_publication,author_prior_publications_total,author_prior_publications_recent_5yr,author_prior_top5_publications,author_years_since_first_publication,coauthor_network_degree_max,coauthor_network_degree_mean,coauthor_network_centrality_max,has_star_coauthor,institution_prestige_best_tier,institution_prestige_mean_tier,n_authors_moved_to_better_institution,author_ever_editor,author_ever_top5_editor,editor_tenure_years_max,editor_tenure_years_sum,has_editor_coauthor,n_editor_coauthors,n_advisors_who_are_top5_editors,acknowledged_editors,idea_quality_ensemble,placement_rung,placement_label,reached_top5,prestige,log_citations,idea_tier,offshelf_llm_tier,has_editor_tie,connection_tier
w15630,2010,E,2,0,2.667618,2.1999999999999997,3.35,0.0521459902159364,-0.2694916590490457,249.0,195.5,15.0,16.0,196.0,111.0,142.0,51.0,1.0,26.0,24.0,20.0,0.0351,1,1.0,2.0,1.0,0,0,0,0,1,3,0,2.0,2.287236475231273,0,unmatched,0,0,0.0,fair,fair,1,mid
w15631,2010,D,2,1,1.1982915000000005,2.15,3.05,-0.0596524380547781,-1.2109273627198374,123.0,66.5,0.0,0.0,36.0,21.0,10.0,8.0,0.0,6.0,6.0,3.5,0.009061,1,3.0,3.0,0.0,0,0,0,0,0,0,0,0.0,1.1744691260572775,1,lower,0,0,1.3862943611198906,limited,fair,0,none
w15632,2010,G,4,2,2.0191550000000005,2.1999999999999997,2.95,-0.4975613037875672,-1.3795621455692306,371.0,188.0,8.0,8.0,57.0,29.0,5.0,5.0,0.0,1.0,40.0,21.5,0.040604,1,1.0,1.5,0.0,0,0,0,0,1,2,0,0.0,2.0315022825181717,2,mid,0,0,4.983606621708336,fair,fair,0,none
w15633,2010,I,2,3,3.7952205,2.75,3.15,-0.5553046625589731,-0.6906629404177786,173.0,115.0,11.0,11.0,27.0,17.5,57.0,46.0,0.0,8.0,23.0,16.5,0.020208,1,1.0,2.0,0.0,0,0,0,0,0,0,0,0.0,3.811021524763079,3,top_field,0,1,1.6094379124341003,exceptional,strong,0,none
w15634,2010,G,2,4,2.0127365,2.15,2.95,0.2005922524989958,0.7594681994479583,143.0,84.0,2.0,2.0,76.0,42.0,143.0,25.0,2.0,76.0,25.0,14.5,0.033576,1,3.0,3.0,0.0,0,0,0,0,1,2,0,0.0,1.9903027756241063,2,mid,0,0,2.70805020110221,fair,fair,0,none
w15635,2010,D,1,5,3.1455365000000004,2.15,1.85,-0.0688346022058634,0.7574978044912817,186.0,186.0,15.0,15.0,33.0,33.0,186.0,37.0,15.0,33.0,24.0,24.0,0.054138,1,2.0,2.0,0.0,0,0,0,0,1,7,0,0.0,2.9329601248155326,0,unmatched,0,0,0.0,strong,fair,0,none
w15636,2010,E,1,6,3.7229555,2.95,1.75,0.2375504920440435,3.8633347707417975,273.0,273.0,24.0,24.0,98.0,98.0,273.0,90.0,24.0,98.0,38.0,38.0,0.084031,1,2.0,2.0,0.0,0,0,0,0,1,7,0,2.0,3.776984440176125,0,unmatched,0,0,0.0,exceptional,strong,1,high
w15637,2010,D,2,7,3.491856,2.15,3.15,-0.6955236545886825,0.6968837193594347,135.0,134.5,13.0,24.0,54.0,39.5,135.0,49.0,13.0,25.0,17.0,13.5,0.010308,1,1.0,1.0,0.0,0,0,0,0,1,2,0,0.0,3.514639736386009,2,mid,0,0,2.0794415416798357,exceptional,fair,0,none
w15638,2010,J,3,8,2.9071685,2.15,4.0,0.0895173564900278,-0.8409718204479774,78.0,41.0,3.0,4.0,24.0,11.0,44.0,27.0,1.0,9.0,7.0,4.67,0.002908,1,3.0,3.0,0.0,0,0,0,0,1,1,0,0.0,2.970207064494085,2,mid,0,0,4.31748811353631,strong,fair,0,none
w15639,2010,E,2,9,2.6635345,2.15,1.85,-0.0394697641531026,1.3877372040250957,339.0,322.0,16.0,25.0,31.0,26.5,305.0,96.0,16.0,31.0,32.0,24.0,0.058262,1,1.0,1.0,2.0,0,0,0,0,1,10,0,0.0,2.4675136240789053,3,top_field,0,1,5.153291594497779,fair,fair,0,none
w15640,2010,I,2,7,2.0653214999999996,2.0999999999999996,3.75,-0.6955236545886825,1.316577080136149,135.0,134.5,13.0,24.0,54.0,39.5,134.0,49.0,11.0,54.0,17.0,13.5,0.010308,1,1.0,1.0,0.0,0,0,0,0,1,2,0,0.0,2.033374867766448,3,top_field,0,1,4.718498871295094,fair,fair,0,none
w15641,2010,C,2,10,3.650858,2.85,4.65,-0.2387202811508557,-0.5861091911411421,64.0,48.5,11.0,16.0,22.0,17.5,33.0,13.0,5.0,13.0,10.0,7.0,0.006879,1,1.0,1.5,0.0,1,1,2,2,1,6,0,0.0,3.657891471232232,4,top5,1,1,5.497168225293202,exceptional,strong,1,low
w15642,2010,E,3,11,3.4966725000000003,2.8,3.35,0.0674739913983037,-0.3207853095413122,204.0,121.33,2.0,2.0,88.0,56.0,49.0,18.0,0.0,37.0,8.0,3.67,0.002761,1,3.0,3.0,0.0,0,0,0,0,1,2,0,0.0,3.499393782359369,3,top_field,0,1,0.0,exceptional,strong,0,none
