paper_id,issue_year,idea_quality,idea_quality_ensemble,ensemble_tier,placement_rung,placement_label,reached_top5,prestige,idea_tier
w15630,2010,2.667618,2.287236475231273,fair,0,unmatched,0,0,fair
w15631,2010,1.1982915000000005,1.1744691260572775,limited,1,lower,0,0,limited
w15632,2010,2.0191550000000005,2.0315022825181717,fair,2,mid,0,0,fair
w15633,2010,3.7952205,3.811021524763079,exceptional,3,top_field,0,1,exceptional
w15634,2010,2.0127365,1.9903027756241063,fair,2,mid,0,0,fair
w15635,2010,3.1455365000000004,2.9329601248155326,strong,0,unmatched,0,0,strong
w15636,2010,3.7229555,3.776984440176125,exceptional,0,unmatched,0,0,exceptional
w15637,2010,3.491856,3.514639736386009,exceptional,2,mid,0,0,exceptional
w15638,2010,2.9071685,2.970207064494085,strong,2,mid,0,0,strong
w15639,2010,2.6635345,2.4675136240789053,fair,3,top_field,0,1,fair
w15640,2010,2.0653214999999996,2.033374867766448,fair,3,top_field,0,1,fair
w15641,2010,3.650858,3.657891471232232,exceptional,4,top5,1,1,exceptional
w15642,2010,3.4966725000000003,3.499393782359369,exceptional,3,top_field,0,1,exceptional
w15643,2010,3.3149685,3.31477338229195,strong,2,mid,0,0,strong
w15644,2010,3.721181,3.73680187113276,exceptional,3,top_field,0,1,exceptional
w15645,2010,2.1080675,2.028016903075969,fair,1,lower,0,0,fair
w15646,2010,3.7285315,3.730106618472977,exceptional,4,top5,1,1,exceptional
w15647,2010,3.806552,3.817350160871338,exceptional,3,top_field,0,1,exceptional
w15648,2010,3.4669235,3.4434878124155923,strong,3,top_field,0,1,strong
w15649,2010,3.8533415,3.873940125747928,exceptional,0,unmatched,0,0,exceptional
w15650,2010,2.3259939999999997,2.0221791183420836,fair,0,unmatched,0,0,fair
w15651,2010,3.670264,3.814066706586649,exceptional,0,unmatched,0,0,exceptional
w15652,2010,3.9027035,3.9207218780571207,exceptional,3,top_field,0,1,exceptional
w15653,2010,2.968011,2.885230898979212,strong,3,top_field,0,1,strong
w15654,2010,3.2391224999999997,3.087198978275182,strong,0,unmatched,0,0,strong
w15655,2010,3.3748345000000004,3.1668875570943187,strong,0,unmatched,0,0,strong
w15656,2010,2.8617245,2.6718137900933967,strong,2,mid,0,0,strong
w15657,2010,1.6686905,1.6236629634870416,limited,3,top_field,0,1,limited
w15658,2010,2.8810055,2.8176944628403584,strong,2,mid,0,0,strong
w15659,2010,2.1798935,2.0475491190250033,fair,3,top_field,0,1,fair
w15660,2010,3.1522055,2.9837911297439503,strong,3,top_field,0,1,strong
w15661,2010,1.5004585,1.157993372190243,limited,0,unmatched,0,0,limited
w15662,2010,3.004599,2.998576293354239,exceptional,1,lower,0,0,fair
w15663,2010,3.098601,2.840101222487381,strong,0,unmatched,0,0,strong
w15664,2010,3.822864,3.8484850743559353,exceptional,4,top5,1,1,exceptional
w15665,2010,1.958136,1.9745669902889689,fair,3,top_field,0,1,fair
w15666,2010,3.27811,3.287535205957875,strong,0,unmatched,0,0,strong
